Year,Сomponent of the index,Region,Age,Gender,Value
2018,civic behavior,Kharkiv,,women,3.6
2019,civic behavior,Kharkiv,,women,
2020,civic behavior,Kharkiv,,women,
2021,civic behavior,Kharkiv,,women,
2022,civic behavior,Kharkiv,,women,
2023,civic behavior,Kharkiv,,women,
2017,relations with government and safety,Donetsk,,,
2018,relations with government and safety,Donetsk,,,
2019,relations with government and safety,Donetsk,,,
2020,relations with government and safety,Donetsk,,,
2021,relations with government and safety,Donetsk,,,
2022,relations with government and safety,Donetsk,,,
2023,relations with government and safety,Donetsk,,,
2017,relations with government and safety,Donetsk,18-35 years,,
2018,relations with government and safety,Donetsk,18-35 years,,0.9
2019,relations with government and safety,Donetsk,18-35 years,,
2020,relations with government and safety,Donetsk,18-35 years,,
2021,relations with government and safety,Donetsk,18-35 years,,
2022,relations with government and safety,Donetsk,18-35 years,,
2023,relations with government and safety,Donetsk,18-35 years,,
2017,relations with government and safety,Donetsk,36-60 years,,
2018,relations with government and safety,Donetsk,36-60 years,,0.9
2019,relations with government and safety,Donetsk,36-60 years,,
2020,relations with government and safety,Donetsk,36-60 years,,
2021,relations with government and safety,Donetsk,36-59 years,,
2022,relations with government and safety,Donetsk,36-59 years,,
2023,relations with government and safety,Donetsk,36-59 years,,
2017,relations with government and safety,Donetsk,61 years and older,,
2018,relations with government and safety,Donetsk,61 years and older,,0.6
2019,relations with government and safety,Donetsk,61 years and older,,
2020,relations with government and safety,Donetsk,61 years and older,,
2021,relations with government and safety,Donetsk,60 years and older,,
2022,relations with government and safety,Donetsk,60 years and older,,
2023,relations with government and safety,Donetsk,60 years and older,,
2017,relations with government and safety,Donetsk,,men,
2018,relations with government and safety,Donetsk,,men,0.9
2019,relations with government and safety,Donetsk,,men,
2020,relations with government and safety,Donetsk,,men,
2021,relations with government and safety,Donetsk,,men,
2022,relations with government and safety,Donetsk,,men,
2023,relations with government and safety,Donetsk,,men,
2017,relations with government and safety,Donetsk,,women,
2018,relations with government and safety,Donetsk,,women,0.8
2019,relations with government and safety,Donetsk,,women,
2020,relations with government and safety,Donetsk,,women,
2021,relations with government and safety,Donetsk,,women,
2022,relations with government and safety,Donetsk,,women,
2023,relations with government and safety,Donetsk,,women,
2017,relations with government and safety,Luhansk,,,
2018,relations with government and safety,Luhansk,,,
2019,relations with government and safety,Luhansk,,,
2020,relations with government and safety,Luhansk,,,
2021,relations with government and safety,Luhansk,,,
2022,relations with government and safety,Luhansk,,,
2023,relations with government and safety,Luhansk,,,
2017,relations with government and safety,Luhansk,18-35 years,,
2018,relations with government and safety,Luhansk,18-35 years,,0.8
2019,relations with government and safety,Luhansk,18-35 years,,
2020,relations with government and safety,Luhansk,18-35 years,,
2021,relations with government and safety,Luhansk,18-35 years,,
2022,relations with government and safety,Luhansk,18-35 years,,
2023,relations with government and safety,Luhansk,18-35 years,,
2017,relations with government and safety,Luhansk,36-60 years,,
2018,relations with government and safety,Luhansk,36-60 years,,0.9
2019,relations with government and safety,Luhansk,36-60 years,,
2020,relations with government and safety,Luhansk,36-60 years,,
2021,relations with government and safety,Luhansk,36-59 years,,
2022,relations with government and safety,Luhansk,36-59 years,,
2023,relations with government and safety,Luhansk,36-59 years,,
2017,relations with government and safety,Luhansk,61 years and older,,
2018,relations with government and safety,Luhansk,61 years and older,,0.6
2019,relations with government and safety,Luhansk,61 years and older,,
2020,relations with government and safety,Luhansk,61 years and older,,
2021,relations with government and safety,Luhansk,60 years and older,,
2022,relations with government and safety,Luhansk,60 years and older,,
2023,relations with government and safety,Luhansk,60 years and older,,
2017,relations with government and safety,Luhansk,,men,
2018,relations with government and safety,Luhansk,,men,0.9
2019,relations with government and safety,Luhansk,,men,
2020,relations with government and safety,Luhansk,,men,
2021,relations with government and safety,Luhansk,,men,
2022,relations with government and safety,Luhansk,,men,
2023,relations with government and safety,Luhansk,,men,
2017,relations with government and safety,Luhansk,,women,
2018,relations with government and safety,Luhansk,,women,0.7
2019,relations with government and safety,Luhansk,,women,
2020,relations with government and safety,Luhansk,,women,
2021,relations with government and safety,Luhansk,,women,
2022,relations with government and safety,Luhansk,,women,
2023,relations with government and safety,Luhansk,,women,
2017,relations with government and safety,Dnipropetrovsk,,,
2018,relations with government and safety,Dnipropetrovsk,,,
2019,relations with government and safety,Dnipropetrovsk,,,
2020,relations with government and safety,Dnipropetrovsk,,,
2021,relations with government and safety,Dnipropetrovsk,,,
2022,relations with government and safety,Dnipropetrovsk,,,
2023,relations with government and safety,Dnipropetrovsk,,,
2017,relations with government and safety,Dnipropetrovsk,18-35 years,,
2018,relations with government and safety,Dnipropetrovsk,18-35 years,,1.1
2019,relations with government and safety,Dnipropetrovsk,18-35 years,,
2020,relations with government and safety,Dnipropetrovsk,18-35 years,,
2021,relations with government and safety,Dnipropetrovsk,18-35 years,,
2022,relations with government and safety,Dnipropetrovsk,18-35 years,,
2023,relations with government and safety,Dnipropetrovsk,18-35 years,,
2017,relations with government and safety,Dnipropetrovsk,36-60 years,,
2018,relations with government and safety,Dnipropetrovsk,36-60 years,,0.8
2019,relations with government and safety,Dnipropetrovsk,36-60 years,,
2020,relations with government and safety,Dnipropetrovsk,36-60 years,,
2021,relations with government and safety,Dnipropetrovsk,36-59 years,,
2022,relations with government and safety,Dnipropetrovsk,36-59 years,,
2023,relations with government and safety,Dnipropetrovsk,36-59 years,,
2017,relations with government and safety,Dnipropetrovsk,61 years and older,,
2018,relations with government and safety,Dnipropetrovsk,61 years and older,,0.6
2019,relations with government and safety,Dnipropetrovsk,61 years and older,,
2020,relations with government and safety,Dnipropetrovsk,61 years and older,,
2021,relations with government and safety,Dnipropetrovsk,60 years and older,,
2022,relations with government and safety,Dnipropetrovsk,60 years and older,,
2023,relations with government and safety,Dnipropetrovsk,60 years and older,,
2017,relations with government and safety,Dnipropetrovsk,,men,
2018,relations with government and safety,Dnipropetrovsk,,men,0.9
2019,relations with government and safety,Dnipropetrovsk,,men,
2020,relations with government and safety,Dnipropetrovsk,,men,
2021,relations with government and safety,Dnipropetrovsk,,men,
2022,relations with government and safety,Dnipropetrovsk,,men,
2023,relations with government and safety,Dnipropetrovsk,,men,
2017,relations with government and safety,Dnipropetrovsk,,women,
2018,relations with government and safety,Dnipropetrovsk,,women,0.8
2019,relations with government and safety,Dnipropetrovsk,,women,
2020,relations with government and safety,Dnipropetrovsk,,women,
2021,relations with government and safety,Dnipropetrovsk,,women,
2022,relations with government and safety,Dnipropetrovsk,,women,
2023,relations with government and safety,Dnipropetrovsk,,women,
2017,relations with government and safety,Zaporizhzhya,,,
2018,relations with government and safety,Zaporizhzhya,,,
2019,relations with government and safety,Zaporizhzhya,,,
2020,relations with government and safety,Zaporizhzhya,,,
2021,relations with government and safety,Zaporizhzhya,,,
2022,relations with government and safety,Zaporizhzhya,,,
2023,relations with government and safety,Zaporizhzhya,,,
2017,relations with government and safety,Zaporizhzhya,18-35 years,,
2018,relations with government and safety,Zaporizhzhya,18-35 years,,1.4
2019,relations with government and safety,Zaporizhzhya,18-35 years,,
2020,relations with government and safety,Zaporizhzhya,18-35 years,,
2021,relations with government and safety,Zaporizhzhya,18-35 years,,
2022,relations with government and safety,Zaporizhzhya,18-35 years,,
2023,relations with government and safety,Zaporizhzhya,18-35 years,,
2017,relations with government and safety,Zaporizhzhya,36-60 years,,
2018,relations with government and safety,Zaporizhzhya,36-60 years,,1.3
2019,relations with government and safety,Zaporizhzhya,36-60 years,,
2020,relations with government and safety,Zaporizhzhya,36-60 years,,
2021,relations with government and safety,Zaporizhzhya,36-59 years,,
2022,relations with government and safety,Zaporizhzhya,36-59 years,,
2023,relations with government and safety,Zaporizhzhya,36-59 years,,
2017,relations with government and safety,Zaporizhzhya,61 years and older,,
2018,relations with government and safety,Zaporizhzhya,61 years and older,,0.7
2019,relations with government and safety,Zaporizhzhya,61 years and older,,
2020,relations with government and safety,Zaporizhzhya,61 years and older,,
2021,relations with government and safety,Zaporizhzhya,60 years and older,,
2022,relations with government and safety,Zaporizhzhya,60 years and older,,
2023,relations with government and safety,Zaporizhzhya,60 years and older,,
2017,relations with government and safety,Zaporizhzhya,,men,
2018,relations with government and safety,Zaporizhzhya,,men,1.2
2019,relations with government and safety,Zaporizhzhya,,men,
2020,relations with government and safety,Zaporizhzhya,,men,
2021,relations with government and safety,Zaporizhzhya,,men,
2022,relations with government and safety,Zaporizhzhya,,men,
2023,relations with government and safety,Zaporizhzhya,,men,
2017,relations with government and safety,Zaporizhzhya,,women,
2018,relations with government and safety,Zaporizhzhya,,women,1.1
2019,relations with government and safety,Zaporizhzhya,,women,
2020,relations with government and safety,Zaporizhzhya,,women,
2021,relations with government and safety,Zaporizhzhya,,women,
2022,relations with government and safety,Zaporizhzhya,,women,
2023,relations with government and safety,Zaporizhzhya,,women,
2017,relations with government and safety,Kharkiv,,,
2018,relations with government and safety,Kharkiv,,,
2019,relations with government and safety,Kharkiv,,,
2020,relations with government and safety,Kharkiv,,,
2021,relations with government and safety,Kharkiv,,,
2022,relations with government and safety,Kharkiv,,,
2023,relations with government and safety,Kharkiv,,,
2017,relations with government and safety,Kharkiv,18-35 years,,
2018,relations with government and safety,Kharkiv,18-35 years,,1.5
2019,relations with government and safety,Kharkiv,18-35 years,,
2020,relations with government and safety,Kharkiv,18-35 years,,
2021,relations with government and safety,Kharkiv,18-35 years,,
2022,relations with government and safety,Kharkiv,18-35 years,,
2023,relations with government and safety,Kharkiv,18-35 years,,
2017,relations with government and safety,Kharkiv,36-60 years,,
2018,relations with government and safety,Kharkiv,36-60 years,,1.3
2019,relations with government and safety,Kharkiv,36-60 years,,
2020,relations with government and safety,Kharkiv,36-60 years,,
2021,relations with government and safety,Kharkiv,36-59 years,,
2022,relations with government and safety,Kharkiv,36-59 years,,
2023,relations with government and safety,Kharkiv,36-59 years,,
2017,relations with government and safety,Kharkiv,61 years and older,,
2018,relations with government and safety,Kharkiv,61 years and older,,0.8
2019,relations with government and safety,Kharkiv,61 years and older,,
2020,relations with government and safety,Kharkiv,61 years and older,,
2021,relations with government and safety,Kharkiv,60 years and older,,
2022,relations with government and safety,Kharkiv,60 years and older,,
2023,relations with government and safety,Kharkiv,60 years and older,,
2017,relations with government and safety,Kharkiv,,men,
2018,relations with government and safety,Kharkiv,,men,1.3
2019,relations with government and safety,Kharkiv,,men,
2020,relations with government and safety,Kharkiv,,men,
2021,relations with government and safety,Kharkiv,,men,
2022,relations with government and safety,Kharkiv,,men,
2023,relations with government and safety,Kharkiv,,men,
2017,relations with government and safety,Kharkiv,,women,
2018,relations with government and safety,Kharkiv,,women,1.2
2019,relations with government and safety,Kharkiv,,women,
2020,relations with government and safety,Kharkiv,,women,
2021,relations with government and safety,Kharkiv,,women,
2022,relations with government and safety,Kharkiv,,women,
2023,relations with government and safety,Kharkiv,,women,
2017,relations between groups,Donetsk,,,
2018,relations between groups,Donetsk,,,
2019,relations between groups,Donetsk,,,
2020,relations between groups,Donetsk,,,
2021,relations between groups,Donetsk,,,
2022,relations between groups,Donetsk,,,
2023,relations between groups,Donetsk,,,
2017,relations between groups,Donetsk,18-35 years,,
2018,relations between groups,Donetsk,18-35 years,,2.5
2019,relations between groups,Donetsk,18-35 years,,6.5
2020,relations between groups,Donetsk,18-35 years,,
2021,relations between groups,Donetsk,18-35 years,,
2022,relations between groups,Donetsk,18-35 years,,
2023,relations between groups,Donetsk,18-35 years,,
2017,relations between groups,Donetsk,36-60 years,,
2018,relations between groups,Donetsk,36-60 years,,2.4
2019,relations between groups,Donetsk,36-60 years,,6.4
2020,relations between groups,Donetsk,36-60 years,,
2021,relations between groups,Donetsk,36-59 years,,
2022,relations between groups,Donetsk,36-59 years,,
2023,relations between groups,Donetsk,36-59 years,,
2017,relations between groups,Donetsk,61 years and older,,
2018,relations between groups,Donetsk,61 years and older,,1.7
2019,relations between groups,Donetsk,61 years and older,,5.9
2020,relations between groups,Donetsk,61 years and older,,
2021,relations between groups,Donetsk,60 years and older,,
2022,relations between groups,Donetsk,60 years and older,,
2023,relations between groups,Donetsk,60 years and older,,
2017,relations between groups,Donetsk,,men,
2018,relations between groups,Donetsk,,men,2.4
2019,relations between groups,Donetsk,,men,6.5
2020,relations between groups,Donetsk,,men,
2021,relations between groups,Donetsk,,men,
2022,relations between groups,Donetsk,,men,
2023,relations between groups,Donetsk,,men,
2017,relations between groups,Donetsk,,women,
2018,relations between groups,Donetsk,,women,2.1
2019,relations between groups,Donetsk,,women,6.1
2020,relations between groups,Donetsk,,women,
2021,relations between groups,Donetsk,,women,
2022,relations between groups,Donetsk,,women,
2023,relations between groups,Donetsk,,women,
2017,relations between groups,Luhansk,,,
2018,relations between groups,Luhansk,,,
2019,relations between groups,Luhansk,,,
2020,relations between groups,Luhansk,,,
2021,relations between groups,Luhansk,,,
2022,relations between groups,Luhansk,,,
2023,relations between groups,Luhansk,,,
2017,relations between groups,Luhansk,18-35 years,,
2018,relations between groups,Luhansk,18-35 years,,2.9
2019,relations between groups,Luhansk,18-35 years,,6.0
2020,relations between groups,Luhansk,18-35 years,,
2021,relations between groups,Luhansk,18-35 years,,
2022,relations between groups,Luhansk,18-35 years,,
2023,relations between groups,Luhansk,18-35 years,,
2017,relations between groups,Luhansk,36-60 years,,
2018,relations between groups,Luhansk,36-60 years,,2.7
2019,relations between groups,Luhansk,36-60 years,,6.0
2020,relations between groups,Luhansk,36-60 years,,
2021,relations between groups,Luhansk,36-59 years,,
2022,relations between groups,Luhansk,36-59 years,,
2023,relations between groups,Luhansk,36-59 years,,
2017,relations between groups,Luhansk,61 years and older,,
2018,relations between groups,Luhansk,61 years and older,,2.1
2019,relations between groups,Luhansk,61 years and older,,5.1
2020,relations between groups,Luhansk,61 years and older,,
2021,relations between groups,Luhansk,60 years and older,,
2022,relations between groups,Luhansk,60 years and older,,
2023,relations between groups,Luhansk,60 years and older,,
2017,relations between groups,Luhansk,,men,
2018,relations between groups,Luhansk,,men,2.8
2019,relations between groups,Luhansk,,men,5.9
2020,relations between groups,Luhansk,,men,
2021,relations between groups,Luhansk,,men,
2022,relations between groups,Luhansk,,men,
2023,relations between groups,Luhansk,,men,
2017,relations between groups,Luhansk,,women,
2018,relations between groups,Luhansk,,women,2.4
2019,relations between groups,Luhansk,,women,5.6
2020,relations between groups,Luhansk,,women,
2021,relations between groups,Luhansk,,women,
2022,relations between groups,Luhansk,,women,
2023,relations between groups,Luhansk,,women,
2017,relations between groups,Dnipropetrovsk,,,
